Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Total_hijos,Año_registro,Total_gasto,Total_compras,Campañas_aceptadas,Cluster_KMeans,Clusters_Jerarquicos,Cluster_DBSCAN
Maestría,Casado,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,51,1,2013,31,8,0,1,1,0
Licenciatura,Soltero,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,50,0,2014,984,16,0,0,0,0
Posgrado,Casado,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,30,0,2012,122,10,1,1,1,-1
Licenciatura,Unión Libre,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,58,1,2013,55,5,0,1,1,0
Licenciatura,Soltero,,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,75,3,2014,124,10,0,1,1,0
Doctorado,Casado,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,72,2,2012,1319,28,0,0,0,0
Licenciatura,Viudo,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,69,1,2014,507,17,0,0,0,0
Maestría,Casado,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,62,0,2012,1693,29,0,0,0,-1
Licenciatura,Soltero,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,49,1,2013,72,7,0,1,1,0
Licenciatura,Divorciado,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,49,0,2014,1617,21,3,0,0,-1
Licenciatura,Casado,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,48,2,2013,606,23,0,0,0,0
Maestría,Unión Libre,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,71,0,2012,1957,27,2,0,0,-1
Licenciatura,Divorciado,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,60,0,2013,1093,21,1,0,0,0
Licenciatura,Soltero,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,38,1,2014,29,6,0,1,1,0
Licenciatura,Soltero,,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,44,1,2013,46,7,0,1,1,0
Doctorado,Casado,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,58,1,2014,518,19,0,1,0,0
Maestría,Soltero,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,44,0,2013,1438,21,3,0,0,-1
Licenciatura,Unión Libre,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,51,2,2012,612,22,0,1,0,0
Licenciatura,Soltero,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,74,1,2013,884,24,0,0,0,0
Doctorado,Viudo,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,75,1,2013,606,19,0,0,0,0
Licenciatura,Unión Libre,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,78,0,2013,1076,16,0,0,0,0
Licenciatura,Casado,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,55,1,2013,34,5,1,1,1,0
Licenciatura,Unión Libre,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,59,2,2014,11,4,0,1,1,0
Posgrado,Soltero,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,47,1,2014,1274,32,3,0,0,-1
Licenciatura,Unión Libre,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,68,1,2013,653,18,0,0,0,0
Licenciatura,Unión Libre,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,56,3,2013,1562,19,0,0,0,-1
Maestría,Casado,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,72,0,2012,1253,21,0,0,0,0
Posgrado,Casado,,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,53,1,2012,109,9,0,1,1,0
Licenciatura,Casado,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,67,1,2013,863,30,0,0,0,0
Doctorado,Casado,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,51,2,2013,661,24,1,0,0,0
Licenciatura,Casado,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,74,0,2014,65,8,0,1,0,0
Licenciatura,Divorciado,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,49,1,2012,13,4,0,1,1,0
Maestría,Casado,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,54,0,2012,1890,19,1,0,0,0
Licenciatura,Soltero,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,50,0,2012,2209,22,2,0,0,-1
Posgrado,Unión Libre,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,50,0,2013,18,4,0,1,1,0
Licenciatura,Unión Libre,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,61,0,2013,692,21,2,0,0,-1
Licenciatura,Soltero,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,41,1,2012,165,12,0,1,1,0
Licenciatura,Casado,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,57,1,2013,16,4,0,1,1,0
Posgrado,Casado,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,53,1,2013,79,9,0,1,1,0
Maestría,Unión Libre,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,63,0,2013,318,11,0,1,0,0
Licenciatura,Divorciado,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,39,0,2014,778,27,0,0,0,-1
Licenciatura,Casado,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,66,2,2013,56,7,0,1,1,0
Maestría,Casado,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,56,2,2013,151,13,1,1,1,0
Licenciatura,Soltero,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,69,1,2014,372,17,3,0,0,-1
Licenciatura,Casado,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,53,0,2014,1366,19,1,0,0,0
Licenciatura,Unión Libre,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,59,1,2014,194,10,0,1,0,0
Doctorado,Casado,,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,69,3,2012,603,29,0,1,0,-1
Licenciatura,Soltero,,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,69,2,2014,18,4,0,1,1,0
Maestría,Unión Libre,,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,53,0,2013,985,15,0,0,0,0
Maestría,Soltero,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,54,1,2014,32,5,0,1,0,0
Doctorado,Casado,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,56,1,2014,43,10,0,1,1,0
Licenciatura,Casado,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,43,1,2014,45,6,0,1,1,0
Licenciatura,Viudo,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,66,1,2012,606,22,1,0,0,0
Licenciatura,Divorciado,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,54,2,2013,63,7,0,1,1,0
Posgrado,Casado,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,75,0,2013,978,25,1,0,0,-1
Doctorado,Casado,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,43,0,2013,410,16,0,1,0,0
Posgrado,Soltero,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,66,1,2013,72,7,0,1,1,0
Doctorado,Soltero,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,67,1,2014,55,7,0,1,1,0
Licenciatura,Unión Libre,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,47,1,2013,1169,27,0,0,0,0
Doctorado,Casado,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,81,0,2013,1120,16,0,0,0,0
Licenciatura,Casado,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,67,0,2014,1097,20,1,0,0,0
Básica,Unión Libre,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,47,1,2013,29,5,0,1,1,0
Licenciatura,Casado,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,62,2,2013,187,13,0,1,0,0
Licenciatura,Casado,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,57,2,2013,910,26,0,0,0,0
Licenciatura,Soltero,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,48,1,2012,145,9,0,1,1,0
Maestría,Casado,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,66,0,2012,850,14,0,0,0,-1
Licenciatura,Unión Libre,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,47,1,2013,969,24,0,0,0,0
Doctorado,Soltero,68126.0,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,35,0,2012,1820,17,2,0,0,-1
Maestría,Unión Libre,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,63,1,2014,608,20,1,0,0,0
Licenciatura,Soltero,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,35,0,2013,730,25,3,0,0,-1
Doctorado,Casado,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,46,1,2012,551,21,0,1,0,0
Licenciatura,Soltero,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,64,2,2013,114,8,0,1,1,0
Licenciatura,Casado,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,56,0,2014,1724,15,2,0,0,0
Posgrado,Casado,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,48,1,2013,577,20,0,1,0,0
Posgrado,Unión Libre,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,59,2,2013,81,7,0,1,1,0
Licenciatura,Unión Libre,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,57,1,2013,33,7,0,1,1,0
Maestría,Unión Libre,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,73,1,2013,660,22,0,0,0,0
Maestría,Soltero,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,59,1,2014,80,9,1,1,0,0
Maestría,Casado,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,41,2,2013,30,6,0,1,1,0
Licenciatura,Divorciado,30992.0,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,50,1,2013,43,5,0,1,1,0
Licenciatura,Soltero,101970.0,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,43,0,2013,1135,27,4,0,0,-1
Posgrado,Unión Libre,71488.0,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,61,0,2013,559,16,0,0,0,-1
Licenciatura,Soltero,79607.0,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,42,0,2013,1923,16,1,0,0,0
Maestría,Casado,54348.0,1,1,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,73,2,2014,90,8,0,1,1,0
Doctorado,Casado,,0,1,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,65,1,2013,404,17,0,1,0,0
Doctorado,Unión Libre,77376.0,1,1,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,70,2,2014,661,23,0,0,0,0
Licenciatura,Casado,62998.0,0,1,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,74,1,2013,463,19,0,0,0,0
Maestría,Soltero,61331.0,1,1,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,68,2,2013,632,23,0,0,0,0
Licenciatura,Casado,73448.0,0,0,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,57,0,2014,725,19,0,0,0,0
Licenciatura,Casado,,0,1,2013-08-11,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,63,1,2013,725,19,0,0,0,0
Doctorado,Casado,41551.0,1,1,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,62,2,2013,279,16,0,1,0,0
Doctorado,Unión Libre,62981.0,0,0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,59,0,2013,1482,23,1,0,0,0
Básica,Divorciado,9548.0,1,0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,50,1,2012,29,6,0,1,1,0
Doctorado,Casado,33762.0,2,1,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,67,3,2013,106,9,0,1,1,0
Doctorado,Soltero,35860.0,1,1,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,53,2,2014,49,6,2,1,0,0
Doctorado,Divorciado,36921.0,1,1,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,61,2,2013,38,7,0,1,1,0
Maestría,Soltero,92859.0,0,0,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,34,0,2012,2077,22,0,0,0,-1
Maestría,Unión Libre,65104.0,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,50,1,2013,1053,17,1,0,0,0
Licenciatura,Casado,86111.0,0,0,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,64,0,2013,1385,23,0,0,0,0
Doctorado,Soltero,68352.0,0,1,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,52,1,2013,871,25,0,0,0,0
Licenciatura,Unión Libre,41883.0,1,0,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,38,1,2013,312,12,0,1,0,0
Licenciatura,Casado,59809.0,0,2,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,50,2,2012,877,15,0,1,0,0
Licenciatura,Casado,23957.0,1,0,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,51,1,2012,68,6,1,1,1,0
Licenciatura,Unión Libre,38547.0,1,0,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,45,1,2013,22,4,0,1,1,0
Posgrado,Casado,35688.0,2,1,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,53,3,2012,211,16,0,1,1,-1
Maestría,Casado,49605.0,0,0,2014-06-21,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,60,0,2014,127,8,0,1,0,0
Maestría,Casado,59354.0,0,2,2014-04-24,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,73,2,2014,459,16,0,1,0,0
Licenciatura,Casado,65747.0,0,1,2014-03-07,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,57,1,2014,460,19,1,0,0,0
Posgrado,Unión Libre,46344.0,0,1,2012-12-14,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,54,1,2012,429,17,0,1,0,0
Licenciatura,Soltero,34176.0,1,0,2014-05-12,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,38,1,2014,89,11,0,1,1,0
Doctorado,Unión Libre,61010.0,0,1,2012-10-09,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,74,1,2012,1021,26,0,0,0,0
Licenciatura,Unión Libre,69372.0,0,0,2013-02-19,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,77,0,2013,1381,21,3,0,0,-1
Licenciatura,Soltero,49967.0,0,1,2013-07-08,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,68,1,2013,306,15,0,1,0,0
Licenciatura,Soltero,60199.0,1,2,2013-09-12,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,48,3,2013,18,4,0,1,1,-1
Licenciatura,Unión Libre,55375.0,0,1,2013-10-17,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,49,1,2013,162,9,0,1,0,0
